TITLE	KEYWORD	YEAR
& Teller (2008)	zombie	2008
& Teller 2 (2008)	zombie	2008
'Babicky dobÃ­jejte presne!' (1984)	robot	1984
'Capulina contra las momias' (El terror de Guanajuato) (1973)	mummy	1973
'District 9': Comic-Con Extravaganza (2009) (V)	alien	2009
'It's Alive!' (1969) (TV)	monster	1969
'Salem's Lot (2004) (TV)	vampire	2004
'The Smiling Ghost' (1941)	ghost	1941
'Wag kang lilingon (2006)	ghost	2006
'nstaCharge (2009)	robot	2009
* Cemetery (2010)	ghost	2010
-- And Now the Screaming Starts! (1973)	demon	1973
-- And Now the Screaming Starts! (1973)	ghost	1973
...4 ...3 ...2 ...1 ...morte (1967)	alien	1973
...E tu vivrai nel terrore! L'aldilÃ  (1981)	ghost	1973
...E tu vivrai nel terrore! L'aldilÃ  (1981)	zombie	1973
...SchlieÃŸ ganz fest die Ã„ugelein! (2009)	zombie	1973
...Things That Go Bump in the Night (2008)	witch	1973
...hanno cambiato faccia (1971)	dracula	1973
...hanno cambiato faccia (1971)	vampire	1973
00 - Zero Zero 3D (2011)	ghost	2011
051: Confidential (2011)	alien	2011
06 Tiros, 60Ml (2005)	zombie	2005
1 Star (2009) (TV)	alien	2009
10 + Â½ + 1 = Making of 11Â½ (2010)	alien	2010
10,000 BC (2008)	dinosaur	2008
10,000 BC (2008)	monster	2008
10,000 BC (2008)	witch	2008
100 Feet (2008)	ghost	2008
100 Ghost Street: The Return of Richard Speck (2012)	ghost	2012
100 Million BC (2008) (V)	dinosaur	2008
100 Things You Always Wanted to Know About Shrek But Were Afraid to Ask So We're Gonna Tell You Anyway Movie Special (2007) (TV)	ogre	2007
11Â½ (2009)	alien	2009
12 to the Moon (1960)	alien	1960
12-24 (2008)	zombie	2008
12:00 A.M. (2005)	ghost	2008
12:00 Part 1 (2011) (V)	alien	2011
12:00 Part 1 (2011) (V)	robot	2011
13 Ghosts (1960)	ghost	1960
13 Hours in a Warehouse (2008)	ghost	2008
13 Steps (2012) (V)	devil	2012
1313: Bigfoot Island (2012) (V)	sasquatch	2012
1313: Boy Crazies (2011) (V)	vampire	2011
1313: Cougar Cult (2012) (V)	witch	2012
1313: UFO Invasion (2012) (V)	alien	2012
13Hrs (2010)	monster	2010
13Hrs (2010)	werewolf	2010
1408 (2007)	ghost	2007
152 (2006)	ghost	2006
