TITLE	GENRE
& Teller (2008)	Horror
& Teller (2008)	Short
& Teller 2 (2008)	Horror
& Teller 2 (2008)	Short
'Babicky dobíjejte presne!' (1984)	Horror
'Babicky dobíjejte presne!' (1984)	Sci-Fi
'Capulina contra las momias' (El terror de Guanajuato) (1973)	Comedy
'Capulina contra las momias' (El terror de Guanajuato) (1973)	Fantasy
'Capulina contra las momias' (El terror de Guanajuato) (1973)	Horror
'Capulina contra las momias' (El terror de Guanajuato) (1973)	Sci-Fi
'District 9': Comic-Con Extravaganza (2009) (V)	Short
'Futurama' Returns (2007) (V)	Comedy
'Futurama' Returns (2007) (V)	Sci-Fi
'Futurama' Returns (2007) (V)	Short
'Harry Potter': Behind the Magic (2001) (TV)	Fantasy
'It's Alive!' (1969) (TV)	Drama
'It's Alive!' (1969) (TV)	Horror
'It's Alive!' (1969) (TV)	Sci-Fi
'Salem's Lot (2004) (TV)	Drama
'Salem's Lot (2004) (TV)	Horror
'Salem's Lot (2004) (TV)	Mystery
'Salem's Lot (2004) (TV)	Thriller
'The Sixth Sense': Reflections from the Set (2002) (V)	Short
'The Smiling Ghost' (1941)	Comedy
'The Smiling Ghost' (1941)	Mystery
'Wag kang lilingon (2006)	Horror
'nstaCharge (2009)	Adventure
'nstaCharge (2009)	Animation
'nstaCharge (2009)	Comedy
'nstaCharge (2009)	Sci-Fi
'nstaCharge (2009)	Short
* Cemetery (2010)	Comedy
* Cemetery (2010)	Horror
* Cemetery (2010)	Thriller
-- And Now the Screaming Starts! (1973)	Horror
-- And Now the Screaming Starts! (1973)	Thriller
...4 ...3 ...2 ...1 ...morte (1967)	Sci-Fi
...E tu vivrai nel terrore! L'aldilà (1981)	Horror
...Schließ ganz fest die Äugelein! (2009)	Horror
...Schließ ganz fest die Äugelein! (2009)	Short
...Things That Go Bump in the Night (2008)	Fantasy
...Things That Go Bump in the Night (2008)	Short
...hanno cambiato faccia (1971)	Horror
00 - Zero Zero 3D (2011)	Animation
00 - Zero Zero 3D (2011)	Animation
051: Confidential (2011)	Mystery
051: Confidential (2011)	Sci-Fi
051: Confidential (2011)	Thriller
06 Tiros, 60Ml (2005)	Horror
06 Tiros, 60Ml (2005)	Short
1 Star (2009) (TV)	Animation
1 Star (2009) (TV)	Comedy
1 Star (2009) (TV)	Sci-Fi
10 + ½ + 1 = Making of 11½ (2010)	Action
10 + ½ + 1 = Making of 11½ (2010)	Comedy
10 + ½ + 1 = Making of 11½ (2010)	Sci-Fi
10 + ½ + 1 = Making of 11½ (2010)	Short
10,000 BC (2008)	Action
10,000 BC (2008)	Adventure
10,000 BC (2008)	Drama
10,000 BC (2008)	Fantasy
100 Feet (2008)	Horror
100 Feet (2008)	Thriller
100 Ghost Street: The Return of Richard Speck (2012)	Horror
100 Million BC (2008) (V)	Action
100 Million BC (2008) (V)	Adventure
100 Million BC (2008) (V)	Fantasy
100 Million BC (2008) (V)	Sci-Fi
100 Things You Always Wanted to Know About Shrek But Were Afraid to Ask So We're Gonna Tell You Anyway Movie Special (2007) (TV)	Animation
100 Years of Horror (1996) (V)	Horror
100 Years of Horror: Baron Frankenstein (1996) (V)	Short
100 Years of Horror: Giants (1996) (V)	Fantasy
100 Years of Horror: Giants (1996) (V)	Horror
100 Years of Horror: Giants (1996) (V)	Sci-Fi
100 Years of Horror: The Walking Dead (1996) (V)	Horror
100 Years of Horror: The Walking Dead (1996) (V)	Sci-Fi
100 Years of Horror: Werewolves (1996) (V)	Short
11½ (2009)	Comedy
11½ (2009)	Sci-Fi
11½ (2009)	Short
12 to the Moon (1960)	Sci-Fi
12-24 (2008)	Horror
12:00 A.M. (2005)	Drama
12:00 A.M. (2005)	Horror
12:00 A.M. (2005)	Mystery
12:00 A.M. (2005)	Thriller
12:00 Part 1 (2011) (V)	Sci-Fi
13 Ghosts (1960)	Horror
13 Hours in a Warehouse (2008)	Horror
13 Hours in a Warehouse (2008)	Thriller
13 Steps (2012) (V)	Drama
1313: Bigfoot Island (2012) (V)	Horror
1313: Boy Crazies (2011) (V)	Thriller
1313: Cougar Cult (2012) (V)	Horror
1313: UFO Invasion (2012) (V)	Sci-Fi
13Hrs (2010)	Action
13Hrs (2010)	Horror
1408 (2007)	Horror
1408 (2007)	Thriller
152 (2006)	Adventure
152 (2006)	Horror
152 (2006)	Short
152 (2006)	Thriller
16 Heads and Counting (2008)	Comedy
16 Heads and Counting (2008)	Drama
16 Heads and Counting (2008)	Horror
1812 (2012)	Action
1812 (2012)	Adventure
1812 (2012)	Horror
1812 (2012)	Short
1888 (2008)	Animation
1888 (2008)	Short
19 Doors (2011)	Horror
1999 - Nen no natsu yasumi (1988)	Drama
1999 - Nen no natsu yasumi (1988)	Fantasy
1999 - Nen no natsu yasumi (1988)	Mystery
1999 - Nen no natsu yasumi (1988)	Romance
1st Bite (2006)	Comedy
1st Bite (2006)	Drama
1st Bite (2006)	Fantasy
1st Bite (2006)	Horror
1st Bite (2006)	Romance
1st Person Shooter (2004)	Comedy
2 (2007/I)	Horror
2 Naughty Schoolgirls (2007)	Action
2 Naughty Schoolgirls (2007)	Comedy
2 Naughty Schoolgirls (2007)	Horror
2 Naughty Schoolgirls (2007)	Short
2 locos en Mar del Plata (2009) (V)	Adventure
2 locos en Mar del Plata (2009) (V)	Comedy
2 locos en Mar del Plata (2009) (V)	Sci-Fi
2 wol 29 il (2006)	Horror
2+5: Missione Hydra (1966)	Sci-Fi
2-Headed Shark Attack (2012) (V)	Action
2-Headed Shark Attack (2012) (V)	Horror
2-Headed Shark Attack (2012) (V)	Sci-Fi
20 Million Miles to Earth (1957)	Fantasy
20 Million Miles to Earth (1957)	Horror
20 Million Miles to Earth (1957)	Sci-Fi
20,000 Leagues Under the Sea (1916)	Action
20,000 Leagues Under the Sea (1916)	Adventure
20,000 Leagues Under the Sea (1916)	Sci-Fi
20,000 Leagues Under the Sea (1997/II) (TV)	Adventure
20,000 Leagues Under the Sea (1997/II) (TV)	Romance
20,000 Leagues Under the Sea (1997/II) (TV)	Sci-Fi
20-seiki shônen: Honkaku kagaku bôken eiga (2008)	Adventure
20-seiki shônen: Honkaku kagaku bôken eiga (2008)	Fantasy
20-seiki shônen: Honkaku kagaku bôken eiga (2008)	Mystery
20-seiki shônen: Honkaku kagaku bôken eiga (2008)	Sci-Fi
20000 Leagues Under the Sea (1954)	Adventure
20000 Leagues Under the Sea (1954)	Family
20000 Leagues Under the Sea (1954)	Fantasy
20000 Leagues Under the Sea (1954)	Sci-Fi
2000: Dokumentalna fantastika (2008)	Comedy
2000: Dokumentalna fantastika (2008)	Sci-Fi
2000: Dokumentalna fantastika (2008)	Short
2001 Maniacs (2005)	Comedy
2001 Maniacs (2005)	Horror
2001 Maniacs: Field of Screams (2010)	Comedy
2001 Maniacs: Field of Screams (2010)	Horror
2001 Yonggary (1999)	Action
2001 Yonggary (1999)	Fantasy
2001 Yonggary (1999)	Horror
2001 Yonggary (1999)	Sci-Fi
2001: A Space Odyssey (1968)	Adventure
2001: A Space Odyssey (1968)	Sci-Fi
2002 (2001)	Comedy
2002 (2001)	Horror
2002 (2001)	Romance
2002 (2001)	Sci-Fi
2019 - Dopo la caduta di New York (1983)	Action
2019 - Dopo la caduta di New York (1983)	Horror
2019 - Dopo la caduta di New York (1983)	Sci-Fi
2020 A.D. (2010) (V)	Adventure
2020 A.D. (2010) (V)	Animation
2020 A.D. (2010) (V)	Sci-Fi
2046 (2004)	Drama
2046 (2004)	Fantasy
2046 (2004)	Romance
2046 (2004)	Sci-Fi
21 (2008)	Crime
21 (2008)	Drama
23:59 (2011)	Horror
24 Hour Party People (2002)	Biography
24 Hour Party People (2002)	Comedy
24 Hour Party People (2002)	Drama
24 Hour Party People (2002)	Music
28 Days Later... (2002)	Horror
28 Days Later... (2002)	Sci-Fi
28 Days Later... (2002)	Thriller
28 Hours Later: The Zombie Movie (2010)	Action
28 Hours Later: The Zombie Movie (2010)	Comedy
28 Hours Later: The Zombie Movie (2010)	Horror
28 Slices Later (2007) (V)	Sci-Fi
28 Slices Later (2007) (V)	Short
28 Weeks Later (2007)	Horror
28 Weeks Later (2007)	Sci-Fi
28 Weeks Later (2007)	Thriller
2B (2009)	Sci-Fi
3 Billy Goats (2010) (V)	Family
3 Billy Goats (2010) (V)	Short
3 Men and a Baby (1987)	Comedy
3 Men and a Baby (1987)	Drama
30 Days of Night (2007)	Horror
30 Days of Night (2007)	Thriller
30 Days of Night: Dark Days (2010) (V)	Horror
30 Days of Night: Dark Days (2010) (V)	Thriller
30,000 Leagues Under the Sea (2007) (V)	Action
30,000 Leagues Under the Sea (2007) (V)	Sci-Fi
300 (2006)	Action
300 (2006)	Fantasy
300 (2006)	History
300 (2006)	War
303 Fear Faith Revenge (1999)	Horror
303 Fear Faith Revenge (1999)	Mystery
404 (2011)	Drama
404 (2011)	Mystery
404 (2011)	Thriller
407 Dark Flight 3D (2012)	Horror
407 Dark Flight 3D (2012)	Thriller
4: Rise of the Silver Surfer (2007)	Action
4: Rise of the Silver Surfer (2007)	Adventure
4: Rise of the Silver Surfer (2007)	Fantasy
4: Rise of the Silver Surfer (2007)	Sci-Fi
4: Rise of the Silver Surfer (2007)	Thriller
5 tombe per un medium (1965)	Horror
51 (2011)	Horror
51 (2011)	Sci-Fi
5ive Girls (2006)	Horror
5ive Girls (2006)	Thriller
6 giorni sulla Terra (2011)	Mystery
6 giorni sulla Terra (2011)	Sci-Fi
6 giorni sulla Terra (2011)	Thriller
64,000,000 Years Ago (1981)	Animation
64,000,000 Years Ago (1981)	Short
666 (1999)	Comedy
666 (1999)	Short
666 (Beware the End Is at Hand) (2007) (V)	Horror
666 (Beware the End Is at Hand) 2 (2007) (V)	Horror
666 Mo Gwai Fuk Wut (1996)	Action
666 Mo Gwai Fuk Wut (1996)	Horror
666: The Beast (2007) (V)	Horror
666: The Beast (2007) (V)	Thriller
6ix (1999)	Comedy
6ix (1999)	Horror
6ix (1999)	Short
7 Dreams for 7 Nights (2010)	Adventure
7 Dreams for 7 Nights (2010)	Comedy
7 Dreams for 7 Nights (2010)	Fantasy
7 Dreams for 7 Nights (2010)	Mystery
7 Nights of Darkness (2011)	Horror
8 1/2 Short Films About Zombies (2007)	Comedy
8 1/2 Short Films About Zombies (2007)	Short
8 Days Later (2008)	Comedy
8 Days Later (2008)	Horror
8 Days Later (2008)	Short
8 päivää ensi-iltaan (2008)	Comedy
8 päivää ensi-iltaan (2008)	Romance
80's Ending (2003)	Comedy
80's Ending (2003)	Short
869 (2011)	Horror
881 (2007)	Comedy
881 (2007)	Drama
881 (2007)	Musical
8E88 Fan Lanla (2010)	Comedy
8mm Nam (2011)	Horror
8mm Nam (2011)	Short
9 (2009/I)	Action
9 (2009/I)	Adventure
9 (2009/I)	Animation
9 (2009/I)	Fantasy
9 (2009/I)	Mystery
9 (2009/I)	Sci-Fi
9 (2009/I)	Thriller
90 000 B.C: A Gorilla Odyssey (2009)	Comedy
90 000 B.C: A Gorilla Odyssey (2009)	Romance
90 000 B.C: A Gorilla Odyssey (2009)	Sci-Fi
90 000 B.C: A Gorilla Odyssey (2009)	Short
976-EVIL (1988)	Horror
976-Evil II (1992)	Horror
99.9 (1997)	Horror
99.9 (1997)	Mystery
99.9 (1997)	Thriller
A Blair Witch Tale (2008) (V)	Comedy
A Blair Witch Tale (2008) (V)	Horror
A Blair Witch Tale (2008) (V)	Mystery
A Blair Witch Tale (2008) (V)	Short
A Blair Witch Tale (2008) (V)	Thriller
A Bothered Conscience (2006)	Horror
A Boy and His Dog (1975)	Comedy
A Boy and His Dog (1975)	Drama
A Boy and His Dog (1975)	Sci-Fi
A Boy and His Dog (1975)	Thriller
A Brand New Psycho (2003)	Animation
A Brand New Psycho (2003)	Fantasy
A Brand New Psycho (2003)	Short
A Cabin in Time (2008)	Drama
A Cadaver Christmas (2011)	Comedy
A Cadaver Christmas (2011)	Horror
A Christmas Carol (1908)	Drama
A Christmas Carol (1908)	Fantasy
A Christmas Carol (1908)	Short
A Christmas Carol (1910)	Drama
A Christmas Carol (1910)	Fantasy
A Christmas Carol (1910)	Short
A Christmas Carol (1938)	Drama
A Christmas Carol (1938)	Fantasy
A Christmas Carol (1947) (TV)	Drama
A Christmas Carol (1947) (TV)	Fantasy
A Christmas Carol (1971) (TV)	Animation
